investor,stock,company,sector,pct,shares,value_idr,type,lf
ARIEF CAHYADI WANA,AMOR,ASHMORE ASSET MANAGEMENT INDONESIA Tbk,FINANCIAL INSTITUTION,5.4,120000000,39600000000.0,Individual,Local
PT ASHMORE ASSET MANAGEMENT INDONESIA TBK,AMOR,ASHMORE ASSET MANAGEMENT INDONESIA Tbk,FINANCIAL INSTITUTION,1.23,27264100,8997153000.0,Securities Co,Local
SIGMANTARA ALFINDO,AMRT,SUMBER ALFARIA TRIJAYA Tbk,RETAIL TRADE,44.0,18269532859,27038908631320.0,Corporation,Local
"AMANDA CIPTA PERSADA, PT",AMRT,SUMBER ALFARIA TRIJAYA Tbk,RETAIL TRADE,8.94,3710794900,5491976452000.0,Corporation,Local
MITSUBISHI CORPORATION,AMRT,SUMBER ALFARIA TRIJAYA Tbk,RETAIL TRADE,4.9,2034681026,3011327918480.0,Corporation,Foreign
JONATHAN CHANG,AMRT,SUMBER ALFARIA TRIJAYA Tbk,RETAIL TRADE,4.81,1996981700,2955532916000.0,Individual,Local
"YSW&CO., LTD.",AMRT,SUMBER ALFARIA TRIJAYA Tbk,RETAIL TRADE,4.14,1720909474,2546946021520.0,Corporation,Foreign
"HSBC-FUND SERVICES, THE OVERLOOK PARTNERS FUND L.P.",AMRT,SUMBER ALFARIA TRIJAYA Tbk,RETAIL TRADE,3.02,1254604900,1856815252000.0,Mutual Fund,Foreign
FIDELITY INVESTMENT TRUST: FIDELITY SERIES EMERGING MARKETS OPPORTUNITIES FUND,AMRT,SUMBER ALFARIA TRIJAYA Tbk,RETAIL TRADE,1.83,758427300,1122472404000.0,Mutual Fund,Foreign
EMPLOYEES PROVIDENT FUND BOARD,AMRT,SUMBER ALFARIA TRIJAYA Tbk,RETAIL TRADE,1.74,724512200,1072278056000.0,Pension Fund,Foreign
"SUMBER ALFARIA TRIJAYA, TBK",AMRT,SUMBER ALFARIA TRIJAYA Tbk,RETAIL TRADE,1.04,432669000,640350120000.0,Corporation,Local
"CENTRAL ENERGI PRATAMA, PT",ANDI,ANDIRA AGRO Tbk,FORESTRY,49.73,4650030000,120900780000.0,Corporation,Local
PT. ANUGERAH PERKASA SEMESTA,ANDI,ANDIRA AGRO Tbk,FORESTRY,7.49,699970000,18199220000.0,Corporation,Local
EDY SUWARNO AL JAP L SING,ANDI,ANDIRA AGRO Tbk,FORESTRY,3.55,331809600,8627049600.0,Individual,Local
REKSA DANA EMCO MANTAP,ANDI,ANDIRA AGRO Tbk,FORESTRY,2.39,223720100,5816722600.0,Mutual Fund,Local
REKSA DANA MINNA PADI PRINGGONDANI SAHAM,ANDI,ANDIRA AGRO Tbk,FORESTRY,2.32,216986186,5641640836.0,Mutual Fund,Local
PT MINNA PADI INVESTAMA SEKURITAS Tbk,ANDI,ANDIRA AGRO Tbk,FORESTRY,2.31,215954200,5614809200.0,Securities Co,Local
EVELINE LISTIJOSUPUTRO,ANDI,ANDIRA AGRO Tbk,FORESTRY,1.84,172212800,4477532800.0,Individual,Local
FRANCIS INDARTO,ANDI,ANDIRA AGRO Tbk,FORESTRY,1.77,165588000,4305288000.0,Individual,Local
REKSA DANA MINNA PADI PASOPATI SAHAM,ANDI,ANDIRA AGRO Tbk,FORESTRY,1.64,153141216,3981671616.0,Mutual Fund,Local
REKSA DANA SUCORINVEST SHARIA EQUITY FUND,ANDI,ANDIRA AGRO Tbk,FORESTRY,1.49,139131700,3617424200.0,Mutual Fund,Local
REKSA DANA EMCO GROWTH FUND,ANDI,ANDIRA AGRO Tbk,FORESTRY,1.1,102856200,2674261200.0,Mutual Fund,Local
FIRST RESOURCES LIMITED,ANJT,AUSTINDO NUSANTARA JAYA Tbk,PLANTATION,95.92,3217218477,5131463470815.0,Corporation,Foreign
CILIANDRA PERKASA,ANJT,AUSTINDO NUSANTARA JAYA Tbk,PLANTATION,2.45,82304646,131275910370.0,Corporation,Local
PERUSAHAAN PERSEROAN (PERSERO) PT MINERAL INDUSTRI INDONESIA,ANTM,ANEKA TAMBANG Tbk,METAL AND MINERAL MINING,65.0,15619999999,54669999996500.0,Corporation,Local
EMPLOYEES PROVIDENT FUND BOARD,ANTM,ANEKA TAMBANG Tbk,METAL AND MINERAL MINING,1.16,278414600,974451100000.0,Pension Fund,Foreign
PT ASERRA CAPITAL,APEX,APEXINDO PRATAMA DUTA Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,31.76,1126374177,210631971099.0,Corporation,Local
UOB KAY HIAN (HONG KONG) LTD,APEX,APEXINDO PRATAMA DUTA Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,21.75,771356500,144243665500.0,Securities Co,Foreign
AUGUSTA INVESTMENTS I PTE.LTD. ID134190500001,APEX,APEXINDO PRATAMA DUTA Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,6.23,220767550,41283531850.0,Corporation,Foreign
